,nom,code_commune,code_postal,num_departement
0,L'Abergement-Clémenciat,01001,01400,01
1,L'Abergement-de-Varey,01002,01640,01
2,Ambérieu-en-Bugey,01004,01500,01
3,Ambérieux-en-Dombes,01005,01330,01
4,Ambléon,01006,01300,01
5,Ambronay,01007,01500,01
6,Ambutrix,01008,01500,01
7,Andert-et-Condon,01009,01300,01
8,Anglefort,01010,01350,01
9,Apremont,01011,01100,01
10,Aranc,01012,01110,01
11,Arandas,01013,01230,01
12,Arbent,01014,01100,01
13,Arboys en Bugey,01015,01300,01
14,Arbigny,01016,01190,01
15,Argis,01017,01230,01
16,Armix,01019,01510,01
17,Ars-sur-Formans,01021,01480,01
18,Artemare,01022,01510,01
19,Asnières-sur-Saône,01023,01570,01
20,Attignat,01024,01340,01
21,Bâgé-Dommartin,01025,01380,01
22,Bâgé-le-Châtel,01026,01380,01
23,Balan,01027,01360,01
24,Baneins,01028,01990,01
25,Beaupont,01029,01270,01
26,Beauregard,01030,01480,01
27,Bellignat,01031,01100,01
28,Béligneux,01032,01360,01
29,Valserhône,01033,01200,01
30,Belley,01034,01300,01
31,Belleydoux,01035,01130,01
32,Valromey-sur-Séran,01036,01260,01
33,Bénonces,01037,01470,01
34,Bény,01038,01370,01
35,Béréziat,01040,01340,01
36,Bettant,01041,01500,01
37,Bey,01042,01290,01
38,Beynost,01043,01700,01
39,Billiat,01044,01200,01
40,Birieux,01045,01330,01
41,Biziat,01046,01290,01
42,Blyes,01047,01150,01
43,La Boisse,01049,01120,01
44,Boissey,01050,01190,01
45,Bolozon,01051,01450,01
46,Bouligneux,01052,01330,01
47,Bourg-en-Bresse,01053,01000,01
48,Bourg-Saint-Christophe,01054,01800,01
49,Boyeux-Saint-Jérôme,01056,01640,01
50,Boz,01057,01190,01
51,Brégnier-Cordon,01058,01300,01
52,Brénod,01060,01110,01
53,Brens,01061,01300,01
54,Bressolles,01062,01360,01
55,Brion,01063,01460,01
56,Briord,01064,01470,01
57,Buellas,01065,01310,01
58,La Burbanche,01066,01510,01
59,Ceignes,01067,01430,01
60,Cerdon,01068,01450,01
61,Certines,01069,01240,01
62,Cessy,01071,01170,01
63,Ceyzériat,01072,01250,01
64,Ceyzérieu,01073,01350,01
65,Chalamont,01074,01320,01
66,Chaleins,01075,01480,01
67,Chaley,01076,01230,01
68,Challes-la-Montagne,01077,01450,01
69,Challex,01078,01630,01
70,Champagne-en-Valromey,01079,01260,01
71,Champdor-Corcelles,01080,01110,01
72,Champfromier,01081,01410,01
73,Chanay,01082,01420,01
74,Chaneins,01083,01990,01
75,Chanoz-Châtenay,01084,01400,01
76,La Chapelle-du-Châtelard,01085,01240,01
77,Charix,01087,01130,01
78,Charnoz-sur-Ain,01088,01800,01
79,Château-Gaillard,01089,01500,01
80,Châtenay,01090,01320,01
81,Châtillon-la-Palud,01092,01320,01
82,Châtillon-sur-Chalaronne,01093,01400,01
83,Chavannes-sur-Reyssouze,01094,01190,01
84,Nivigne et Suran,01095,01250,01
85,Chaveyriat,01096,01660,01
86,Chazey-Bons,01098,01300,01
87,Chazey-sur-Ain,01099,01150,01
88,Cheignieu-la-Balme,01100,01510,01
89,Chevillard,01101,01430,01
90,Chevroux,01102,01190,01
91,Chevry,01103,01170,01
92,Chézery-Forens,01104,01200,01
93,Civrieux,01105,01390,01
94,Cize,01106,01250,01
95,Cleyzieu,01107,01230,01
96,Coligny,01108,01270,01
97,Collonges,01109,01550,01
98,Colomieu,01110,01300,01
99,Conand,01111,01230,01
100,Condamine,01112,01430,01
101,Condeissiat,01113,01400,01
102,Confort,01114,01200,01
103,Confrançon,01115,01310,01
104,Contrevoz,01116,01300,01
105,Conzieu,01117,01300,01
106,Corbonod,01118,01420,01
107,Corlier,01121,01110,01
108,Cormoranche-sur-Saône,01123,01290,01
109,Cormoz,01124,01560,01
110,Corveissiat,01125,01250,01
111,Courmangoux,01127,01370,01
112,Courtes,01128,01560,01
113,Crans,01129,01320,01
