,nom_entreprise,adresse,latitude,longitude,activite_principale
0,LA POSTE (DIRECTION GENERALE DE LA POSTE),5003 RUE DE LA RIVE 24130 LE FLEIX,45.2718446,5.6188319,53.10Z
1,ELECTRICITE DE FRANCE (EDF),37 RUE DIDEROT 38000 GRENOBLE,45.191987,5.703432,35.13Z
2,ELECTRICITE DE FRANCE (EDF),11 RUE FELIX ESCLANGON 38000 GRENOBLE,45.191229,5.705265,35.13Z
3,ELECTRICITE DE FRANCE (EDF),5 CHEMIN DES COTES 38360 SASSENAGE,45.208962,5.656548,35.11Z
4,ELECTRICITE DE FRANCE (EDF),ALLEE DE LA HOUILLE BLANCHE 38800 LE PONT-DE-CLAIX,45.110566,5.70517,35.11Z
5,ELECTRICITE DE FRANCE (EDF),21 AVENUE PAUL VAILLANT COUTURIER 38130 ECHIROLLES,45.148979,5.701497,35.11Z
6,ELECTRICITE DE FRANCE (EDF),37 RUE DIDEROT 38000 GRENOBLE,45.191987,5.703432,35.13Z
7,ELECTRICITE DE FRANCE (EDF),RUE DU PROFESSEUR CARNOT 38250 VILLARD-DE-LANS,45.069091,5.554365,35.13Z
8,ELECTRICITE DE FRANCE (EDF),309 RUE JEAN JAURES 38220 VIZILLE,45.076157,5.768577,35.13Z
9,ELECTRICITE DE FRANCE (EDF),1 RUE GENERAL MARCHAND 38000 GRENOBLE,45.189971,5.731562,35.13Z
10,ELECTRICITE DE FRANCE (EDF),ZAC FOND RATEL 24 B RUE DE L’EUROPE 38640 CLAIX,45.122055,5.689171,35.13Z
11,ELIOR RESTAURATION FRANCE,43 AVENUE MARCELIN BERTHELOT 38100 GRENOBLE,45.174185,5.732867,56.29B
12,ELIOR RESTAURATION FRANCE,1 AVENUE D'INNSBRUCK 38100 GRENOBLE,45.158706,5.734115,55.5A
13,ELIOR RESTAURATION FRANCE,ALLEE SAINT EXUPERY 38330 MONTBONNOT-SAINT-MARTIN,45.219306,5.808217,56.29B
14,ELIOR RESTAURATION FRANCE,AVENUE LA BRUYERE 38100 GRENOBLE,45.167319,5.73268,55.5A
15,SOCIETE GENERALE (SOCIETE GENERALE) (SG),4 PLACE VICTOR HUGO 38000 GRENOBLE,45.189496,5.724061,64.19Z
16,SOCIETE GENERALE (SOCIETE GENERALE) (SG),17 RUE GENERAL DE GAULLE 38210 TULLINS,45.297066,5.482731,64.19Z
17,SOCIETE GENERALE (SOCIETE GENERALE) (SG),16 AVENUE DE VERDUN 38240 MEYLAN,45.205978,5.764768,64.19Z
18,SOCIETE GENERALE (SOCIETE GENERALE) (SG),68 COURS JEAN JAURES 38130 ECHIROLLES,45.147126,5.704932,64.19Z
19,SOCIETE GENERALE (SOCIETE GENERALE) (SG),PLACE CHARLES GAUTHIER 38430 MOIRANS,45.326642,5.564512,64.19Z
20,SOCIETE GENERALE (SOCIETE GENERALE) (SG),RES L ABBAYE 43 AVENUE AMBROISE CROIZAT 38600 FONTAINE,45.19496,5.676482,64.19Z
21,SOCIETE GENERALE (SOCIETE GENERALE) (SG),148 AVENUE DE LA REPUBLIQUE 38170 SEYSSINET-PARISET,45.172999,5.696795,64.19Z
22,SOCIETE GENERALE (SOCIETE GENERALE) (SG),49 BOULEVARD JOSEPH VALLIER 38000 GRENOBLE,45.179838,5.707924,64.19Z
23,SOCIETE GENERALE (SOCIETE GENERALE) (SG),1 RUE JEAN PREVOST 38000 GRENOBLE,45.183004,5.716916,64.19Z
24,SOCIETE GENERALE (SOCIETE GENERALE) (SG),32 BOULEVARD MARECHAL LECLERC 38000 GRENOBLE,45.193775,5.735439,64.19Z
25,SNCF RESEAU,10 RUE DES SPORTS 38420 DOMENE,45.196879,5.823275,52.21Z
26,SNCF RESEAU,26 AVENUE DES MARTYRS 38000 GRENOBLE,45.203942,5.7029,52.21Z
27,SNCF RESEAU,6 PLACE ROBERT SCHUMAN 38000 GRENOBLE,45.191393,5.712529,52.21Z
28,SNCF RESEAU,160 CHEMIN DES SEITES 38340 VOREPPE,45.290358,5.632983,52.21Z
29,SNCF RESEAU,AVENUE DE LA GARE 38800 LE PONT-DE-CLAIX,45.124389,5.699824,52.21Z
30,BNP PARIBAS (HELLO BANK!),19 AVENUE DE LA PLAINE FLEURIE 38240 MEYLAN,45.206282,5.757486,64.19Z
31,BNP PARIBAS (HELLO BANK!),3 RUE ALPHAND 38000 GRENOBLE,45.190404,5.73069,64.19Z
32,BNP PARIBAS (HELLO BANK!),41 AVENUE MARECHAL RANDON 38000 GRENOBLE,45.196084,5.735582,64.19Z
33,BNP PARIBAS (HELLO BANK!),1 RUE BERANGER 38000 GRENOBLE,45.187992,5.724382,64.19Z
34,BNP PARIBAS (HELLO BANK!),132 COURS BERRIAT 38000 GRENOBLE,45.188713,5.709185,64.19Z
35,BNP PARIBAS (HELLO BANK!),12 PLACE PAUL MISTRAL 38000 GRENOBLE,45.18378,5.733078,64.19Z
36,BNP PARIBAS (HELLO BANK!),2 AVENUE ALSACE LORRAINE 38000 GRENOBLE,45.189205,5.723172,65.1C
37,BNP PARIBAS (HELLO BANK!),34 AVENUE DANIELLE CASANOVA 38130 ECHIROLLES,45.143458,5.700004,64.19Z
38,BNP PARIBAS (HELLO BANK!),1 RUE REPUBLIQUE 38520 LE BOURG D'OISANS,45.054303,6.029946,64.19Z
39,BNP PARIBAS (HELLO BANK!),6 AVENUE HENRI CHAPAYS 38340 VOREPPE,45.298122,5.635959,64.19Z
40,CROIX ROUGE FRANCAISE (CRF),6 RUE KLEBER 38000 GRENOBLE,45.18425,5.721751,85.3K
41,CROIX ROUGE FRANCAISE (CRF),5 RUE GENEVOISE 38500 VOIRON,45.366891,5.593305,88.99B
42,CROIX ROUGE FRANCAISE (CRF),DELEGATION DEPARTEMENTALE 4 RUE KLEBER 38000 GRENOBLE,45.184339,5.721957,88.99B
43,CROIX ROUGE FRANCAISE (CRF),BAT A 4 RUE KLEBER 38000 GRENOBLE,45.184339,5.721957,80.4C
44,CROIX ROUGE FRANCAISE (CRF),56 AVENUE DE LA REPUBLIQUE 38130 ECHIROLLES,45.14249,5.72916,88.99B
45,CROIX ROUGE FRANCAISE (CRF),4E ETAGE 4 RUE KLEBER 38000 GRENOBLE,45.184339,5.721957,88.99B
46,CROIX ROUGE FRANCAISE (CRF),6 AVENUE AUGUSTE FERRIER 38130 ECHIROLLES,45.145128,5.70744,85.59A
47,CROIX ROUGE FRANCAISE (CRF),131 RUE DE LA TUILERIE 38920 CROLLES,45.274589,5.891428,88.99B
48,CROIX ROUGE FRANCAISE (CRF),66 AVENUE RHIN ET DANUBE 38100 GRENOBLE,45.173162,5.704786,85.42Z
49,ORANGE,ZONE ARTISANALE L HERMITAGE 29200 BREST,45.0937183,6.0682888,61.10Z
50,COMPASS GROUP FRANCE (SCOLAREST MEDIREST EUREST),15 RUE PAUL CLAUDEL 38100 GRENOBLE,45.1714,5.733007,55.5C
51,COMPASS GROUP FRANCE (SCOLAREST MEDIREST EUREST),RUE JOSEPH CHANRION 38000 GRENOBLE,45.189645,5.736924,55.5C
52,COMPASS GROUP FRANCE (SCOLAREST MEDIREST EUREST),2 RUE GEORGES DE MANTEYER 38100 GRENOBLE,45.172809,5.742232,55.5C
53,COMPASS GROUP FRANCE (SCOLAREST MEDIREST EUREST),RUE VOLTA 38000 GRENOBLE,45.202686,5.711056,55.5C
54,COMPASS GROUP FRANCE (SCOLAREST MEDIREST EUREST),2 RUE DES ALLIES 38100 GRENOBLE,45.169517,5.731114,55.5C
55,COMPASS GROUP FRANCE (SCOLAREST MEDIREST EUREST),1 RUE DE LA TERRASSE 38500 VOIRON,45.367157,5.596275,56.29A
56,COMPASS GROUP FRANCE (SCOLAREST MEDIREST EUREST),44 RUE DES CIMENTS 38180 SEYSSINS,45.151677,5.688558,55.5C
57,COMPASS GROUP FRANCE (SCOLAREST MEDIREST EUREST),AVENUE DU GRANIER 38240 MEYLAN,45.210117,5.785122,56.29A
58,COMPASS GROUP FRANCE (SCOLAREST MEDIREST EUREST),158 AVENUE DES MARTYRS 38000 GRENOBLE,45.203942,5.7029,55.5C
59,COMPASS GROUP FRANCE (SCOLAREST MEDIREST EUREST),2 CHEMIN DES SOURCES 38240 MEYLAN,45.206132,5.770003,55.5C
60,LIDL (LIDL),10 COURS JEAN JAURES 38130 ECHIROLLES,45.157741,5.707945,47.11D
61,LIDL (LIDL),17 RUE DES GLAIRONS 38400 SAINT-MARTIN-D'HERES,45.186633,5.761848,47.11D
62,LIDL (LIDL),35 RUE CURE BOURSE 38320 EYBENS,45.161339,5.740711,47.11D
63,LIDL (LIDL),3 AVENUE DE ROMANS 38360 SASSENAGE,45.200304,5.668999,47.11D
64,LIDL (LIDL),81 AVENUE DOCTEUR VALOIS 38500 VOIRON,45.356669,5.59365,47.11D
65,LIDL (LIDL),LES AYES AVENUE AMBROISE CROIZAT 38920 CROLLES,45.272753,5.887119,47.11D
66,LIDL (LIDL),6 RUE GEORGE SAND 38500 VOIRON,45.365887,5.586351,47.11D
67,LIDL (LIDL),278 RUE JEAN JAURES 38220 VIZILLE,45.076273,5.768451,47.11D
68,LIDL (LIDL),CD 45 PEILLADOUX 38210 TULLINS,45.29683,5.502806,47.11C
69,LIDL (LIDL),ZAC MISTRAL EAUX CLAIRES 35 B RUE ANATOLE FRANCE 38100 GRENOBLE,45.172303,5.704737,47.11D
70,OGF,7 GRANDE CHARTREUSE 38380 SAINT-LAURENT-DU-PONT,45.386719,5.735824,93.0H
