,Code NAF,Intitule NAF
0,6512Z,Autres assurances
1,3523Z,Commerce de combustibles gazeux par conduites
2,9313Z,Activités des centres de culture physique
3,8690F,Activités de santé humaine non classées ailleurs
4,1091,Fabrication d'aliments pour animaux de ferme
5,81,"Extraction de pierres, de sables et d'argiles"
6,8560Z,Activités de soutien à l'enseignement
7,1084,Fabrication de condiments et assaisonnements
8,5811,Édition de livres
9,4726Z,Commerce de détail de produits à base de tabac en magasin spécialisé
10,9411,Activités des organisations patronales et consulaires
11,2014,Fabrication d'autres produits chimiques organiques de base
12,4673A,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction
13,2030,"Fabrication de peintures, vernis, encres et mastics"
14,4611Z,"Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis"
15,3299Z,Autres activités manufacturières n.c.a.
16,4399B,Travaux de montage de structures métalliques
17,5030,Transports fluviaux de passagers
18,2351,Fabrication de ciment
19,6190,Autres activités de télécommunication
20,3513,Distribution d'électricité
21,4669B,Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers
22,4661Z,Commerce de gros (commerce interentreprises) de matériel agricole
23,7490,"Autres activités spécialisées, scientifiques et techniques n.c.a."
24,3530Z,Production et distribution de vapeur et d'air conditionné
25,8542,Enseignement supérieur
26,146,Élevage de porcins
27,324,Fabrication de jeux et jouets
28,4647,"Commerce de gros de meubles, de tapis et d'appareils d'éclairage"
29,0312Z,Pêche en eau douce
30,2320Z,Fabrication de produits réfractaires
31,8899B,Action sociale sans hébergement n.c.a.
32,951,Réparation d'ordinateurs et d'équipements de communication
33,310,Fabrication de meubles
34,05,Extraction de houille et de lignite
35,1061,Travail des grains
36,4631,Commerce de gros de fruits et légumes
37,5224B,Manutention non portuaire
38,6820B,Location de terrains et d'autres biens immobiliers
39,562,Traiteurs et autres services de restauration
40,6629Z,Autres activités auxiliaires d'assurance et de caisses de retraite
41,302,Construction de locomotives et d'autre matériel ferroviaire roulant
42,4511Z,Commerce de voitures et de véhicules automobiles légers
43,4648Z,Commerce de gros (commerce interentreprises) d'articles d'horlogerie et de bijouterie
44,2432Z,Laminage à froid de feuillards
45,292,Fabrication de carrosseries et remorques
46,4781,Commerce de détail alimentaire sur éventaires et marchés
47,872,"Hébergement social pour personnes handicapées mentales, malades mentales et toxicomanes"
48,431,Démolition et préparation des sites
49,9499,Activités des organisations associatives n.c.a.
50,3700,Collecte et traitement des eaux usées
51,7735,Location et location-bail de matériels de transport aérien
52,29,Industrie automobile
53,1051,Exploitation de laiteries et fabrication de fromage
54,1610A,"Sciage et rabotage du bois, hors imprégnation"
55,1621,Fabrication de placage et de panneaux de bois
56,990,Activités de soutien aux autres industries extractives
57,3101,Fabrication de meubles de bureau et de magasin
58,2651,"Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation"
59,6520,Réassurance
60,813,Services d'aménagement paysager
61,352,Production et distribution de combustibles gazeux
62,8891B,Accueil ou accompagnement sans hébergement d’enfants handicapés
63,8810A,Aide à domicile
