,nom,adresse,siren
0,LA POSTE (DIRECTION GENERALE DE LA POSTE),5003 RUE DE LA RIVE 24130 LE FLEIX,356000000
1,ELECTRICITE DE FRANCE (EDF),37 RUE DIDEROT 38000 GRENOBLE,552081317
2,ELECTRICITE DE FRANCE (EDF),11 RUE FELIX ESCLANGON 38000 GRENOBLE,552081317
3,ELECTRICITE DE FRANCE (EDF),5 CHEMIN DES COTES 38360 SASSENAGE,552081317
4,ELECTRICITE DE FRANCE (EDF),ALLEE DE LA HOUILLE BLANCHE 38800 LE PONT-DE-CLAIX,552081317
5,ELECTRICITE DE FRANCE (EDF),21 AVENUE PAUL VAILLANT COUTURIER 38130 ECHIROLLES,552081317
6,ELECTRICITE DE FRANCE (EDF),37 RUE DIDEROT 38000 GRENOBLE,552081317
7,ELECTRICITE DE FRANCE (EDF),RUE DU PROFESSEUR CARNOT 38250 VILLARD-DE-LANS,552081317
8,ELECTRICITE DE FRANCE (EDF),309 RUE JEAN JAURES 38220 VIZILLE,552081317
9,ELECTRICITE DE FRANCE (EDF),1 RUE GENERAL MARCHAND 38000 GRENOBLE,552081317
10,ELECTRICITE DE FRANCE (EDF),ZAC FOND RATEL 24 B RUE DE L’EUROPE 38640 CLAIX,552081317
11,ELIOR RESTAURATION FRANCE,43 AVENUE MARCELIN BERTHELOT 38100 GRENOBLE,662025196
12,ELIOR RESTAURATION FRANCE,1 AVENUE D'INNSBRUCK 38100 GRENOBLE,662025196
13,ELIOR RESTAURATION FRANCE,ALLEE SAINT EXUPERY 38330 MONTBONNOT-SAINT-MARTIN,662025196
14,ELIOR RESTAURATION FRANCE,AVENUE LA BRUYERE 38100 GRENOBLE,662025196
15,SOCIETE GENERALE (SOCIETE GENERALE) (SG),4 PLACE VICTOR HUGO 38000 GRENOBLE,552120222
16,SOCIETE GENERALE (SOCIETE GENERALE) (SG),17 RUE GENERAL DE GAULLE 38210 TULLINS,552120222
17,SOCIETE GENERALE (SOCIETE GENERALE) (SG),16 AVENUE DE VERDUN 38240 MEYLAN,552120222
18,SOCIETE GENERALE (SOCIETE GENERALE) (SG),68 COURS JEAN JAURES 38130 ECHIROLLES,552120222
19,SOCIETE GENERALE (SOCIETE GENERALE) (SG),PLACE CHARLES GAUTHIER 38430 MOIRANS,552120222
20,SOCIETE GENERALE (SOCIETE GENERALE) (SG),RES L ABBAYE 43 AVENUE AMBROISE CROIZAT 38600 FONTAINE,552120222
21,SOCIETE GENERALE (SOCIETE GENERALE) (SG),148 AVENUE DE LA REPUBLIQUE 38170 SEYSSINET-PARISET,552120222
22,SOCIETE GENERALE (SOCIETE GENERALE) (SG),49 BOULEVARD JOSEPH VALLIER 38000 GRENOBLE,552120222
23,SOCIETE GENERALE (SOCIETE GENERALE) (SG),1 RUE JEAN PREVOST 38000 GRENOBLE,552120222
24,SOCIETE GENERALE (SOCIETE GENERALE) (SG),32 BOULEVARD MARECHAL LECLERC 38000 GRENOBLE,552120222
25,SNCF RESEAU,10 RUE DES SPORTS 38420 DOMENE,412280737
26,SNCF RESEAU,26 AVENUE DES MARTYRS 38000 GRENOBLE,412280737
27,SNCF RESEAU,6 PLACE ROBERT SCHUMAN 38000 GRENOBLE,412280737
28,SNCF RESEAU,160 CHEMIN DES SEITES 38340 VOREPPE,412280737
29,SNCF RESEAU,AVENUE DE LA GARE 38800 LE PONT-DE-CLAIX,412280737
30,BNP PARIBAS (HELLO BANK!),19 AVENUE DE LA PLAINE FLEURIE 38240 MEYLAN,662042449
31,BNP PARIBAS (HELLO BANK!),3 RUE ALPHAND 38000 GRENOBLE,662042449
32,BNP PARIBAS (HELLO BANK!),41 AVENUE MARECHAL RANDON 38000 GRENOBLE,662042449
33,BNP PARIBAS (HELLO BANK!),1 RUE BERANGER 38000 GRENOBLE,662042449
34,BNP PARIBAS (HELLO BANK!),132 COURS BERRIAT 38000 GRENOBLE,662042449
35,BNP PARIBAS (HELLO BANK!),12 PLACE PAUL MISTRAL 38000 GRENOBLE,662042449
36,BNP PARIBAS (HELLO BANK!),2 AVENUE ALSACE LORRAINE 38000 GRENOBLE,662042449
37,BNP PARIBAS (HELLO BANK!),34 AVENUE DANIELLE CASANOVA 38130 ECHIROLLES,662042449
38,BNP PARIBAS (HELLO BANK!),1 RUE REPUBLIQUE 38520 LE BOURG D'OISANS,662042449
39,BNP PARIBAS (HELLO BANK!),6 AVENUE HENRI CHAPAYS 38340 VOREPPE,662042449
40,CROIX ROUGE FRANCAISE (CRF),6 RUE KLEBER 38000 GRENOBLE,775672272
41,CROIX ROUGE FRANCAISE (CRF),5 RUE GENEVOISE 38500 VOIRON,775672272
42,CROIX ROUGE FRANCAISE (CRF),DELEGATION DEPARTEMENTALE 4 RUE KLEBER 38000 GRENOBLE,775672272
43,CROIX ROUGE FRANCAISE (CRF),BAT A 4 RUE KLEBER 38000 GRENOBLE,775672272
44,CROIX ROUGE FRANCAISE (CRF),56 AVENUE DE LA REPUBLIQUE 38130 ECHIROLLES,775672272
45,CROIX ROUGE FRANCAISE (CRF),4E ETAGE 4 RUE KLEBER 38000 GRENOBLE,775672272
46,CROIX ROUGE FRANCAISE (CRF),6 AVENUE AUGUSTE FERRIER 38130 ECHIROLLES,775672272
47,CROIX ROUGE FRANCAISE (CRF),131 RUE DE LA TUILERIE 38920 CROLLES,775672272
48,CROIX ROUGE FRANCAISE (CRF),66 AVENUE RHIN ET DANUBE 38100 GRENOBLE,775672272
49,ORANGE,ZONE ARTISANALE L HERMITAGE 29200 BREST,380129866
50,COMPASS GROUP FRANCE (SCOLAREST MEDIREST EUREST),15 RUE PAUL CLAUDEL 38100 GRENOBLE,632041042
51,COMPASS GROUP FRANCE (SCOLAREST MEDIREST EUREST),RUE JOSEPH CHANRION 38000 GRENOBLE,632041042
52,COMPASS GROUP FRANCE (SCOLAREST MEDIREST EUREST),2 RUE GEORGES DE MANTEYER 38100 GRENOBLE,632041042
53,COMPASS GROUP FRANCE (SCOLAREST MEDIREST EUREST),RUE VOLTA 38000 GRENOBLE,632041042
54,COMPASS GROUP FRANCE (SCOLAREST MEDIREST EUREST),2 RUE DES ALLIES 38100 GRENOBLE,632041042
55,COMPASS GROUP FRANCE (SCOLAREST MEDIREST EUREST),1 RUE DE LA TERRASSE 38500 VOIRON,632041042
56,COMPASS GROUP FRANCE (SCOLAREST MEDIREST EUREST),44 RUE DES CIMENTS 38180 SEYSSINS,632041042
57,COMPASS GROUP FRANCE (SCOLAREST MEDIREST EUREST),AVENUE DU GRANIER 38240 MEYLAN,632041042
58,COMPASS GROUP FRANCE (SCOLAREST MEDIREST EUREST),158 AVENUE DES MARTYRS 38000 GRENOBLE,632041042
59,COMPASS GROUP FRANCE (SCOLAREST MEDIREST EUREST),2 CHEMIN DES SOURCES 38240 MEYLAN,632041042
60,LIDL (LIDL),10 COURS JEAN JAURES 38130 ECHIROLLES,343262622
61,LIDL (LIDL),17 RUE DES GLAIRONS 38400 SAINT-MARTIN-D'HERES,343262622
62,LIDL (LIDL),35 RUE CURE BOURSE 38320 EYBENS,343262622
63,LIDL (LIDL),3 AVENUE DE ROMANS 38360 SASSENAGE,343262622
64,LIDL (LIDL),81 AVENUE DOCTEUR VALOIS 38500 VOIRON,343262622
65,LIDL (LIDL),LES AYES AVENUE AMBROISE CROIZAT 38920 CROLLES,343262622
66,LIDL (LIDL),6 RUE GEORGE SAND 38500 VOIRON,343262622
67,LIDL (LIDL),278 RUE JEAN JAURES 38220 VIZILLE,343262622
68,LIDL (LIDL),CD 45 PEILLADOUX 38210 TULLINS,343262622
69,LIDL (LIDL),ZAC MISTRAL EAUX CLAIRES 35 B RUE ANATOLE FRANCE 38100 GRENOBLE,343262622
70,OGF,7 GRANDE CHARTREUSE 38380 SAINT-LAURENT-DU-PONT,542076799
71,OGF,3 PASSAGE DE LA POSTE 38250 VILLARD-DE-LANS,542076799
72,OGF,LE MOLLARD 80 ALLEE DES TILLEULS 38140 RIVES,542076799
73,OGF,16 AVENUE PIERRE BEREGOVOY 38210 TULLINS,542076799
74,OGF,132 AVENUE JEAN JAURES 38500 VOIRON,542076799
75,OGF,MAISONS NEUVES 38210 TULLINS,542076799
76,OGF,RUE SERAPHIN MARTIN 38430 MOIRANS,542076799
77,OGF,102 IMPASSE DE L’’ETOURNEL 38470 L'ALBENC,542076799
78,OGF,LIEU DIT MONTMARTEL RUE SERAPHIN MARTIN 38430 MOIRANS,542076799
79,OGF,71 AVENUE DE LA PATINIERE 38500 VOIRON,542076799
80,SNCF VOYAGEURS,1 PLACE DE LA GARE 38000 GRENOBLE,519037584
81,SNCF VOYAGEURS,6 PLACE ROBERT SCHUMAN 38000 GRENOBLE,519037584
82,SNCF VOYAGEURS,70 AVENUE DES MARTYRS 38000 GRENOBLE,519037584
83,SNCF VOYAGEURS,765 AVENUE CHARLES DE GAULLE 38140 RIVES,519037584
84,SNCF VOYAGEURS,GARE SNCF BRIGNOUD AVENUE ROBERT HUANT 38190 VILLARD-BONNOT,519037584
85,SNCF VOYAGEURS,AVENUE LEON ET JOANNY TARDY 38500 VOIRON,519037584
86,SNCF VOYAGEURS,GARE SNCF AV DE LA GARE 38610 GIERES,519037584
87,SNCF VOYAGEURS,11 RUE DE LA GARE 38950 SAINT-MARTIN-LE-VINOUX,519037584
88,CREDIT LYONNAIS (LCL - LE CREDIT LYONNAIS) (LCL),18 COURS SENOZAN 38500 VOIRON,954509741
89,CREDIT LYONNAIS (LCL - LE CREDIT LYONNAIS) (LCL),1 RUE MOLIERE 38000 GRENOBLE,954509741
90,CREDIT LYONNAIS (LCL - LE CREDIT LYONNAIS) (LCL),23 AVENUE DU GRESIVAUDAN 38240 MEYLAN,954509741
91,CREDIT LYONNAIS (LCL - LE CREDIT LYONNAIS) (LCL),44 AVENUE ARISTIDE BRIAND 38600 FONTAINE,954509741
92,CREDIT LYONNAIS (LCL - LE CREDIT LYONNAIS) (LCL),118 AVENUE DE LA REPUBLIQUE 38170 SEYSSINET-PARISET,954509741
93,CREDIT LYONNAIS (LCL - LE CREDIT LYONNAIS) (LCL),16 RUE DE LA REPUBLIQUE 38430 MOIRANS,954509741
94,CREDIT LYONNAIS (LCL - LE CREDIT LYONNAIS) (LCL),IMM PLEIN SOLEIL 4 RUE GABRIEL DIDIER 38130 ECHIROLLES,954509741
95,CREDIT LYONNAIS (LCL - LE CREDIT LYONNAIS) (LCL),LA PARC 2 AVENUE ALBERT 1ER DE BELGIQUE 38000 GRENOBLE,954509741
96,CREDIT LYONNAIS (LCL - LE CREDIT LYONNAIS) (LCL),3 CRS LIBERATION - GEN DE GAULLE 38000 GRENOBLE,954509741
97,CREDIT LYONNAIS (LCL - LE CREDIT LYONNAIS) (LCL),112 CRS LIBERATION - GEN DE GAULLE 38000 GRENOBLE,954509741
98,CARREFOUR PROXIMITE FRANCE,3 PLACE GEORGES BRASSENS 38320 POISAT,345130488
99,CARREFOUR PROXIMITE FRANCE,7 AVENUE DU 8 MAI 1945 38130 ECHIROLLES,345130488
100,CARREFOUR PROXIMITE FRANCE,18 RUE DE STRASBOURG 38000 GRENOBLE,345130488
101,CARREFOUR PROXIMITE FRANCE,47 AVENUE DE CHARTREUSE 38240 MEYLAN,345130488
102,CARREFOUR PROXIMITE FRANCE,36 AVENUE DE LA REPUBLIQUE 38520 LE BOURG-D'OISANS,345130488
103,CARREFOUR PROXIMITE FRANCE,14 AV GENERAL CHAMPON-17B AU 21 17 AVENUE ALBERT 1ER DE BELGIQUE 38000 GRENOBLE,345130488
104,CARREFOUR PROXIMITE FRANCE,11 RUE DES CLERCS 38000 GRENOBLE,345130488
105,CARREFOUR PROXIMITE FRANCE,COURS SAINT - ANDRE 38800 LE PONT-DE-CLAIX,345130488
106,CARREFOUR PROXIMITE FRANCE,31 COURS JEAN JAURES 38000 GRENOBLE,345130488
107,CARREFOUR PROXIMITE FRANCE,PARC D'ACTIVITE DES BLANCHISSERIES 6 RUE LOUIS LEPRINCE-RINGUET 38500 VOIRON,345130488
108,MCDONALD'S FRANCE,RN 89 LES FAURIES 24120 TERRASSON LAVILLEDIEU,722003936
109,LE SOUVENIR FRANCAIS,11 BOULEVARD JEAN PAIN 38000 GRENOBLE,775676182
110,LE SOUVENIR FRANCAIS,COMITE DE ROMANCHE-OISANS 1 RUE HUMBERT 38520 LE BOURG-D'OISANS,775676182
111,LE SOUVENIR FRANCAIS,COMITE DE DOMENE PLACE STALINGRAD 38420 DOMENE,775676182
112,LE SOUVENIR FRANCAIS,COMITE PAYS VINOIS-CHAMBARANS-VERCORS 7 PLACE DE L'HOTEL DE VILLE 38470 VINAY,775676182
113,LE SOUVENIR FRANCAIS,COMITE DE VIF 5 PLACE DE LA LIBERATION 38450 VIF,775676182
114,LE SOUVENIR FRANCAIS,COMITE VOIRON - RIVES 12 RUE MAINSSIEUX 38500 VOIRON,775676182
115,LE SOUVENIR FRANCAIS,1 PLACE DE LA MAIRIE 38380 SAINT-LAURENT-DU-PONT,775676182
116,SOGERES (SOGERES),129 AVENUE PROFESSEUR NOBECOURT 38250 VILLARD-DE-LANS,572102176
117,SOGERES (SOGERES),MAISON DE L'ENFANCE LE BELVEDERE 1 CHEMIN DE L’EGLISE 38700 CORENC,572102176
118,SOGERES (SOGERES),LES PETITS CHAPERONS ROUGES DE EYBENS 4 RUE ROLAND GARROS 38320 EYBENS,572102176
119,SOGERES (SOGERES),ZI CENTRE ALPES 1343 RUE ARISTIDE BERGES 38340 VOREPPE,572102176
